time,prices,market_cap,total_volumes
2021-04-23,33.24,32837988741.585655,2727362562.7818136
2021-04-24,32.38,31955227311.01955,3692974457.242997
2021-04-25,29.14,29164117673.324932,1790187521.1027157
2021-04-26,29.77,29386423738.55804,1426820530.317965
2021-04-27,33.46,32971528339.239906,2073188240.1405542
2021-04-28,34.54,34085016694.010246,1707353296.040809
2021-04-29,33.99,33465362480.344566,1727083451.9411442
2021-04-30,35.78,35125134676.12503,1671642385.8837767
2021-05-01,36.56,36161115650.50087,2053574634.1266975
2021-05-02,36.9,36487497552.831894,1431056978.6740394
2021-05-03,36.63,36175071088.34755,1303233017.6899304
2021-05-04,37.31,36985789925.45359,1645143224.0203195
2021-05-05,34.66,34707954650.18579,2295521130.5770683
2021-05-06,40.57,40073630954.333496,2902362969.2338347
2021-05-07,41.52,41263884488.423386,3591760181.6557684
2021-05-08,39.93,39477322692.65792,2614452242.387992
2021-05-09,39.64,39197018807.0192,1539872559.5545456
2021-05-10,40.31,39960281498.6593,1960812614.7285278
2021-05-11,36.7,36380576367.92715,2738737908.933777
2021-05-12,38.63,38213129449.26634,1978072269.6659775
2021-05-13,35.37,36142903315.04381,3297743471.4965587
2021-05-14,40.1,39682065176.0802,6028561379.2491
2021-05-15,47.33,46663358358.632095,4389158726.270394
2021-05-16,43.19,42873126463.91633,5670783483.435763
2021-05-17,42.5,41909567642.53158,3512522788.0849147
2021-05-18,38.47,38675535803.375725,3591393624.0346236
2021-05-19,40.78,40700856754.28537,2964614890.0023675
2021-05-20,25.55,26212334807.34307,7440268038.0967455
2021-05-21,28.97,28603677243.810192,4887264993.644384
2021-05-22,23.89,23855622508.168064,4537200355.067695
2021-05-23,21.99,21860219890.87334,3027159412.6211486
2021-05-24,18.06,17830097290.168854,4240565324.877562
2021-05-25,23.07,22978156612.954174,3294658515.605996
2021-05-26,22.0,21933881526.44776,2593578225.083468
2021-05-27,24.66,24531339737.5942,2295932465.490305
2021-05-28,23.99,24040296853.950665,1953660434.2199876
2021-05-29,21.46,21392351948.632805,3163705196.799271
2021-05-30,19.92,20036900253.630054,1639713144.1522937
2021-05-31,20.43,20344660576.923485,1386880188.949725
2021-06-01,23.33,23254070863.818947,1916499739.7321558
2021-06-02,22.9,22899347242.905197,1555014124.7382228
2021-06-03,26.17,26126479643.786804,2139089062.7504544
2021-06-04,27.23,27239991190.48918,2059836125.1783895
2021-06-05,25.1,25084953695.39406,1952268571.332295
2021-06-06,23.82,23680247755.592136,1415753256.4326484
2021-06-07,24.15,24156716111.00127,843204626.1208866
2021-06-08,21.4,21605113644.382584,1280241352.385666
2021-06-09,21.87,21896291632.897587,1698751463.5288625
2021-06-10,23.2,23303937957.99968,1452158373.0871491
2021-06-11,22.68,22853431521.801174,1437709901.7599847
2021-06-12,21.06,21108781102.469795,981770548.2225292
2021-06-13,20.85,21002014902.98868,962136083.1628792
2021-06-14,22.09,22042757096.994293,802526585.392608
2021-06-15,25.93,26018722804.42594,2102058923.7809913
2021-06-16,24.12,24229295867.459297,1499821201.2995617
2021-06-17,22.83,22887778579.919186,1132504108.432292
2021-06-18,22.55,22454000728.776775,830343796.1260432
2021-06-19,21.46,21545349132.29741,861812291.6179062
2021-06-20,20.38,20468951490.828773,624793482.9809674
2021-06-21,20.74,20817405498.417953,889911121.8767681
2021-06-22,15.78,15982853048.931551,1604155701.6824002
2021-06-23,14.63,14637302133.758293,2207447798.607186
2021-06-24,15.86,15964610514.042696,1395173769.7441962
2021-06-25,16.26,16337122561.43929,891444663.6233742
2021-06-26,14.75,14854414724.676348,863464620.4382737
2021-06-27,14.42,14370536477.857649,805461997.5952917
2021-06-28,14.98,15038775166.061934,616294782.9453921
2021-06-29,15.78,15872501595.64575,755671286.8360317
2021-06-30,16.28,16384626754.387346,935736808.1989927
2021-07-01,16.41,16512919235.466106,858783153.1010189
2021-07-02,15.28,15380656777.288427,585331700.7122605
