time1,prices,market_cap,total_volumes
2021-10-21,503.12,84745122606.4623,1833542986.521904
2021-10-22,472.69,79624573356.90178,3033090976.7527623
2021-10-23,481.15,80952725832.11777,1898030478.4739642
2021-10-24,484.84,81934945154.53473,1129514282.5997796
2021-10-25,477.97,80199757017.45264,1254106530.2921195
2021-10-26,487.15,81913681359.43121,1284541316.639778
2021-10-27,478.44,80677268288.5376,1508840530.1107383
2021-10-28,450.86,75903656465.65352,2316775185.4670663
2021-10-29,491.71,82561621362.28908,2628914115.0289636
2021-10-30,529.29,88860227505.95818,2569613187.9379926
2021-10-31,526.94,88364902395.50041,2156161648.209199
2021-11-01,524.7,88397508686.16068,2055395356.7474582
2021-11-02,551.29,92000730617.12926,2510289680.4590116
2021-11-03,555.34,93300469526.21828,2354014158.7823987
2021-11-04,569.42,95580886279.62439,2535572381.3340287
2021-11-05,561.08,93684809790.80734,918351949.366726
2021-11-06,607.39,102239350031.91696,823889824.0042819
2021-11-07,636.05,106678784796.95503,2732633332.0970964
2021-11-08,650.5,109351224513.36607,2959585574.6050396
2021-11-09,654.55,110441230385.45178,2736003241.609642
2021-11-10,636.93,107121024764.02724,1382513876.6347072
2021-11-11,611.44,102244405701.09842,3696723702.1209984
2021-11-12,629.71,106206623233.60594,2337919696.5244536
2021-11-13,629.1,105472491968.83057,2217116489.6106596
2021-11-14,652.23,109752105406.01126,2130842944.858373
2021-11-15,654.63,109344591546.65788,2176186844.8508444
2021-11-16,635.71,107179034486.68674,2164485657.5901036
2021-11-17,591.35,99072575969.34612,3785748029.642495
2021-11-18,580.01,97395197941.88988,2675180273.98891
2021-11-19,530.96,89273538349.98795,2853667453.4497666
2021-11-20,584.29,97897877035.36423,1997409357.4315586
2021-11-21,605.53,101748904918.52667,1997292580.829934
2021-11-22,590.25,99417134265.90721,1939044330.212048
2021-11-23,559.99,94141555128.42072,2102538150.3116853
2021-11-24,593.49,99757241785.07602,2477156620.7457576
2021-11-25,591.41,99379066100.37683,1684423139.7574818
2021-11-26,638.17,107424492828.26445,3220559430.769233
2021-11-27,585.57,98163785738.51369,3590433261.2349033
2021-11-28,598.07,100563350064.07237,2286083326.02913
2021-11-29,611.45,102859413042.39499,1989683137.7295897
2021-11-30,623.82,104784648775.37642,2325905243.943369
2021-12-01,624.05,104925562003.6331,2439816624.457762
2021-12-02,627.53,105462458343.29141,1515106862.6545084
2021-12-03,620.51,104330222381.41449,1617408815.099449
2021-12-04,596.4,100528004276.42007,2382852302.693731
2021-12-05,567.25,95335338060.06216,2266233562.7227225
2021-12-06,555.82,93250170464.80862,2288311513.664084
2021-12-07,588.43,98720942135.86618,1134910473.6514003
2021-12-08,578.54,97186791666.94543,1652489519.44965
2021-12-09,604.99,101696478776.10591,950989762.1173861
2021-12-10,574.64,96991666247.38249,2138850107.7152977
2021-12-11,553.61,93909797723.08975,2061957673.5989077
2021-12-12,564.28,95058056440.36154,1751228657.616518
2021-12-13,569.0,95781352542.45345,1226159947.7396386
2021-12-14,522.84,88136999321.73947,1857063942.6485746
2021-12-15,527.29,88467152917.59581,2102957892.8327856
2021-12-16,539.36,90516070605.93126,1459793198.0898228
2021-12-17,526.94,88739042728.2347,1271490920.8324678
2021-12-18,526.49,88621998225.15762,1263802707.4398265
2021-12-19,536.19,90157712271.86766,1058739536.7618155
2021-12-20,530.12,89132593996.60892,1043023863.1684319
2021-12-21,526.6,88675975411.82384,481169380.3684995
2021-12-22,530.01,89294190471.49745,1434096929.3250618
2021-12-23,534.7,90182492751.57364,1425636263.1341903
2021-12-24,549.83,92280915089.05827,1812462412.5303695
2021-12-25,542.7,91373285919.82881,1580172422.0506623
2021-12-26,548.74,92441360231.32367,1190695627.4241185
2021-12-27,547.48,92035994606.58185,1356354521.7332885
2021-12-28,564.68,95279493611.64384,1838703937.5794516
2021-12-29,536.18,90330999470.31949,2359858892.476065
2021-12-30,514.19,86121656107.6653,1354698230.2318523
2021-12-31,518.37,87050521604.65057,1698742743.0255451
2022-01-01,511.8,86323960659.40782,1750642164.9547455
2022-01-02,528.87,88661538317.93062,820262618.0493886
